Fondly  - С любовью
put smth in  - вставлять
vacuum cleaner  - пылесос
put up with  - терпеть
electric light  - электрический свет
manage  - справляться
turn up  - появляться
take up  - начать заниматься
sort out  - рассортировать
rough  - набрасывать
put in  - проводить время
pass away  - уйти в мир иной
make into  - превращать
give away  - отдавать
do up  - упаковывать
cut back  - возвращаться
consume  - потреблять
charge up  - заряжать
go off  - портиться
live off  - жить за счёт
make something up  - сочинять что-то
move back  - отъезжать
put something in  - вставлять
get by with  - обходиться
soap operas  - мыльные оперы
chat shows  - ток-шоу
drama series  - драматический сериал
documentaries  - документальные фильмы
cartoons  - мультфильмы
quiz shows  - шоу викторины
satellite tv  - спутниковое телевидение
be over  - заканчиваться
go out with  - встречаться c
hurry up  - торопиться
turn back  - возвращаться
warm up  - разминаться
plug in  - включать
fill in  - замещать
turn down  - уменьшать
look out  - быть настороже
look up  - искать


sort out  - улаживать
predictable  - предсказуемый
crime writer  - писатель-криминалист
detective novel  - детективный роман
reckoning  - подсчёт
business associate  - бизнес-партнер
murder mystery  - детективный сюжет
intend  - намереваться
evidence  - доказательство
scientific  - научный
foggy  - туманный
brutal  - жестокий
inhabitant  - житель
amateur  - любительский
merchant  - торговец
violence  - насилие
suspect  - предполагать
confess  - сознаваться
ripper  - потрошитель
innocent  - наивный
fictional  - вымышленный
enquiry  - наведение справок
detection  - обнаружение
murder mystery  - детективный сюжет
terrorize  - вселять страх
confess to murders  - признаваться в убийствах
prove the identity  - доказывать личность
dismantling  - демонтаж
witness  - свидетель
commit  - совершать
fall over  - отказывать
achieve  - достигать
desperate  - отчаявшийся
convince  - убеждать
recipient  - получатель
overuse  - злоупотреблять
ammunition  - боеприпасы
nosy  - любопытный
cotton on  - усваивать
quell  - подавлять
ruthlessly  - безжалостно
salacious  - непристойный
rendezvous  - встреча
berth  - причал
lingering  - затяжной
demeanor  - поведение
stealth  - скрытность
be keen on  - любить делать
trouser  - штанина
speak out  - высказывать мнение
reconcile  - примирить
arrogance  - высокомерие
fairness  - честность
cellar  - подвал
lung  - лёгкое
invention  - выдумка
capture  - фиксировать
omit  - пропускать
marital  - брачный
refugee  - беженец
unbearable  - невыносимый
insult  - оскорбление
tend  - иметь склонность
justice  - справедливость
overall  - общий
poverty  - нищета
objective  - объективный
film crew  - съёмочная группа
inspire  - вдохновлять
breathtaking  - захватывающий
out-of-date  - устаревший
reduction  - снижение
see smb around  - увидеться
steady  - постоянный
improvise  - импровизировать
analytical mind  - аналитический ум
